City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
248,Pevek,RU,2022-05-25 02:36:37,69.7008,170.3133,35.06,87,96,5.23
249,Cherskiy,RU,2022-05-25 02:36:39,68.75,161.3,54.21,41,8,7.99
250,Dingle,PH,2022-05-25 02:36:40,10.9995,122.6711,89.51,62,88,8.59
251,Oga,IT,2022-05-25 02:36:41,46.4631,10.347,50.81,98,96,1.43
252,Olinda,BR,2022-05-25 02:36:42,-8.0089,-34.8553,74.93,100,75,5.75
253,Wageningen,NL,2022-05-25 02:36:44,51.9667,5.6667,49.91,92,1,2.3
254,Coihaique,CL,2022-05-25 02:36:46,-45.5752,-72.0662,27.21,93,0,3.44
255,Katsuura,JP,2022-05-25 02:36:48,35.1333,140.3,70.7,69,100,9.46
256,Khorixas,NA,2022-05-25 02:36:50,-20.3667,14.9667,60.13,36,0,3.8
257,Celestun,MX,2022-05-25 02:36:52,20.8667,-90.4,80.85,65,26,15.39
258,Marystown,CA,2022-05-25 02:36:53,47.1666,-55.1483,40.86,100,44,9.46
259,San Jose,US,2022-05-25 02:34:33,37.3394,-121.895,92.08,29,20,14.97
260,Muros,ES,2022-05-25 02:36:56,42.7762,-9.0603,49.08,93,100,5.59
261,Fray Bentos,UY,2022-05-25 02:32:00,-33.1325,-58.2956,61.74,88,100,4.79
262,Havoysund,NO,2022-05-25 02:36:57,70.9963,24.6622,50.23,57,100,14.7
263,Kavieng,PG,2022-05-25 02:36:58,-2.5744,150.7967,84.58,67,100,8.81
264,Loudi,CN,2022-05-25 02:36:59,27.7344,111.9944,79.75,71,52,2.98
265,Conde,BR,2022-05-25 02:37:01,-7.2597,-34.9075,72.86,100,75,5.75
266,Lubao,PH,2022-05-25 02:37:02,14.9167,120.55,89.31,58,100,5.82
267,Kanniyakumari,IN,2022-05-25 02:37:04,8.0833,77.5667,82.0,78,99,13.6
268,Buin,CL,2022-05-25 02:37:06,-33.7333,-70.75,64.06,68,100,1.19
269,Bagdarin,RU,2022-05-25 02:37:08,54.4333,113.6,67.26,23,4,6.53
270,Kudahuvadhoo,MV,2022-05-25 02:37:10,2.6708,72.8944,82.35,74,50,2.73
271,Labuhan,ID,2022-05-25 02:37:12,-6.8844,112.2051,85.84,69,76,11.01
272,Mtwara,TZ,2022-05-25 02:38:13,-10.2667,40.1833,72.25,93,5,8.86
273,Port Blair,IN,2022-05-25 02:38:14,11.6667,92.75,83.95,77,42,18.21
274,Tam Ky,VN,2022-05-25 02:38:14,15.5667,108.4833,83.61,73,100,2.39
275,Marabba,SD,2022-05-25 02:38:15,12.35,32.1833,81.73,59,91,15.7
276,Jinchang,CN,2022-05-25 02:38:16,38.4953,102.1739,62.28,32,100,6.73
277,Namibe,AO,2022-05-25 02:38:16,-15.1961,12.1522,65.21,72,0,7.29
278,Yeppoon,AU,2022-05-25 02:38:18,-23.1333,150.7333,74.98,74,87,12.75
279,Lata,PT,2022-05-25 02:38:19,40.1629,-8.3327,59.81,96,100,3.38
