City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Conditions
213,Lodwar,KE,3.1191,35.5973,89.17,31,100,8.01,overcast clouds
214,Mustasaari,FI,63.1142,21.6822,51.89,87,0,1.14,clear sky
215,Lakatoro,VU,-16.0999,167.4164,79.36,77,74,12.03,broken clouds
216,Maceio,BR,-9.6658,-35.7353,72.84,94,100,5.75,overcast clouds
217,Sakakah,SA,29.9697,40.2064,96.37,13,1,3.69,clear sky
218,Marienburg,PL,54.0359,19.0266,56.84,81,100,5.55,overcast clouds
219,Zhigansk,RU,66.7697,123.3711,35.89,97,100,14.27,overcast clouds
220,Puerto Baquerizo Moreno,EC,-0.9,-89.6,68.99,83,100,10.36,overcast clouds
221,Tabuk,PH,17.4189,121.4443,72.81,93,96,1.92,overcast clouds
222,Talnakh,RU,69.4865,88.3972,38.21,99,100,9.8,light rain
223,Cabo San Lucas,MX,22.8909,-109.9124,89.62,70,20,5.75,few clouds
224,Marawi,PH,7.9986,124.2928,67.73,90,100,3.22,overcast clouds
225,Santa Maria,BR,-29.6842,-53.8069,60.1,41,0,5.75,clear sky
226,Flinders,AU,-34.5833,150.8552,50.25,84,6,7.96,clear sky
227,Taurage,LT,55.2522,22.2897,53.2,70,100,4.72,overcast clouds
228,Ocos,GT,14.5094,-92.1933,83.8,75,44,12.21,scattered clouds
229,Nuuk,GL,64.1835,-51.7216,52.41,62,75,17.27,broken clouds
230,Abu Samrah,SY,35.3029,37.1841,80.73,35,0,6.53,clear sky
231,Tiksi,RU,71.6872,128.8694,38.17,89,100,8.08,overcast clouds
232,Akdepe,TM,42.0551,59.3788,60.89,30,0,8.01,clear sky
233,Manono,CD,-7.3,27.4167,76.42,56,15,2.1,few clouds
234,Koroni,GR,36.8,21.95,81.07,87,0,10.4,clear sky
235,Martapura,ID,-3.4167,114.85,75.29,100,75,1.14,broken clouds
236,Ahar,IR,38.4774,47.0699,59.76,79,94,6.93,overcast clouds
237,Paamiut,GL,61.994,-49.6678,44.29,78,100,5.73,overcast clouds
238,Solwezi,ZM,-12.1688,26.3894,64.06,32,0,3.02,clear sky
239,Port Macquarie,AU,-31.4333,152.9167,51.89,78,6,7.05,clear sky
240,Ouallam,NE,14.3188,2.0866,88.0,52,19,5.55,few clouds
241,Dingle,PH,10.9995,122.6711,74.35,89,91,4.09,overcast clouds
242,Tucurui,BR,-3.7661,-49.6725,96.55,27,60,4.27,broken clouds
243,Merauke,ID,-8.4667,140.3333,76.84,90,100,9.62,overcast clouds
244,Raudeberg,NO,61.9875,5.1352,56.07,77,0,8.28,clear sky
245,Alamogordo,US,32.8995,-105.9603,90.95,30,0,16.11,clear sky
246,Gawler,AU,-34.6,138.7333,49.15,92,17,2.1,few clouds
247,Coihaique,CL,-45.5752,-72.0662,57.15,51,40,9.22,scattered clouds
248,Harer,ET,9.3094,42.1258,61.75,78,99,2.06,light rain
249,Motygino,RU,58.1831,94.7592,39.24,93,80,1.45,broken clouds
250,Cap-Aux-Meules,CA,47.3821,-61.8597,68.05,68,20,17.27,few clouds
251,Srednekolymsk,RU,67.45,153.6833,42.35,94,100,4.16,light rain
